section_code,subject,course_number,course_name,instructor,credits,term,campus,class_schedule,parking_arrival_date,parking_arrival_time
CS1073-SJ01B,CS,1073,Intro to Com Program I in Java,Jeff McNally,4,Winter 2026,Saint John,"Tuesday, Thursday 12:30-1:50 PM",2026-01-20,11:35
CS1073-SJ01B,CS,1073,Intro to Com Program I in Java,Jeff McNally,4,Winter 2026,Saint John,"Tuesday, Thursday 12:30-1:50 PM",2026-01-22,12:10
CS1073-SJ01B,CS,1073,Intro to Com Program I in Java,Jeff McNally,4,Winter 2026,Saint John,"Tuesday, Thursday 12:30-1:50 PM",2026-01-29,11:40
CS1073-SJ01B,CS,1073,Intro to Com Program I in Java,Jeff McNally,4,Winter 2026,Saint John,"Tuesday, Thursday 12:30-1:50 PM",2026-01-20,12:00
CS1073-SJ01B,CS,1073,Intro to Com Program I in Java,Jeff McNally,4,Winter 2026,Saint John,"Tuesday, Thursday 12:30-1:50 PM",2026-02-05,11:30
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-07,11:55
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-05,11:50
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-05,11:30
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-05,11:35
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-02-02,11:55
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-05,11:30
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-21,11:45
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-14,12:05
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-05,11:30
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-07,11:50
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-26,11:50
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-07,11:30
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-14,12:00
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-12,11:35
CS1083-SJ01B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-14,11:30
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-19,11:50
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-02-04,11:45
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-02-02,11:55
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-21,12:00
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-05,11:40
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-14,11:55
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-28,11:50
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-21,11:55
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-26,12:05
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-28,12:10
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-02-02,12:00
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-05,11:45
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-02-04,12:05
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-07,11:45
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-05,11:30
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-14,11:40
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-28,11:45
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-19,12:05
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-19,11:35
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-21,12:10
CS1083-SJ02B,CS,1083,Intro to Comp Prog II in Java,Peash R. Saha,4,Winter 2026,Saint John,"Monday, Wednesday 12:30-1:50 PM",2026-01-14,11:30
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-27,13:30
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-02-05,14:00
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-20,13:30
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-02-03,13:40
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-13,14:00
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-20,13:35
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-20,14:00
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-20,14:05
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-15,13:55
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-06,14:10
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-02-05,13:35
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-29,13:35
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-15,13:30
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-22,13:35
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-08,13:35
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-08,13:40
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-08,13:40
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-22,13:40
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-29,13:40
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-02-05,13:40
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-22,14:10
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-08,13:35
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-27,14:00
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-27,13:55
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-22,13:45
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-06,14:05
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-29,13:35
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-20,13:45
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-01-29,14:05
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-02-03,14:05
CS1103-SJ01B,CS,1103,Introduction to Databases,Jong-Kyou Kim; Sonal Joshi,4,Winter 2026,Saint John,"Tuesday, Thursday 2:30-3:50 PM",2026-02-03,13:30
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-12,08:40
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-21,08:45
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-07,08:40
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-21,09:05
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-14,08:45
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-21,08:30
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-12,08:45
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-21,08:35
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-21,09:05
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-05,09:10
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-28,08:30
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-02,08:50
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-19,09:10
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-05,08:55
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-05,08:55
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-04,09:10
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-04,09:00
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-04,08:50
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-05,08:55
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-02,08:35
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-28,08:35
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-07,09:10
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-21,08:45
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-12,08:45
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-26,08:30
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-26,08:45
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-28,09:00
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-05,08:55
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-05,08:30
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-12,09:10
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-26,09:05
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-26,08:35
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-04,08:35
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-12,08:55
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-26,08:30
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-02,08:40
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-28,08:30
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-02,08:35
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-02-04,08:30
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-05,08:35
CS2253-SJ01B,CS,2253,Machine Level Programming,Jeff McNally,4,Winter 2026,Saint John,"Monday, Wednesday 9:30-10:50 AM",2026-01-14,09:10
CS2263-SJ01B,CS,2263,Systems Software Development,Jeff McNally,4,Winter 2026,Saint John,"Tuesday, Thursday 3:30-4:50 PM",2026-01-13,15:00
CS2263-SJ01B,CS,2263,Systems Software Development,Jeff McNally,4,Winter 2026,Saint John,"Tuesday, Thursday 3:30-4:50 PM",2026-01-13,15:00
CS2263-SJ01B,CS,2263,Systems Software Development,Jeff McNally,4,Winter 2026,Saint John,"Tuesday, Thursday 3:30-4:50 PM",2026-01-27,15:00
